post_title,datetime,sentiment_scores,sentiment,topic
Andrew Giles released four people from immigration detention without strictest conditions,2024-06-24T15:00:42Z,-0.3612,negative,key individuals
Andrew Giles released four people from immigration detention without strictest conditions,2024-06-24T15:00:42Z,-0.3612,negative,immigration policy
Andrew Giles released four people from immigration detention without strictest conditions,2024-06-24T15:00:42Z,-0.3612,negative,detention policy
Australia’s immigration minister suppresses details about electronic monitoring of former detainees,2024-05-07T15:00:20Z,0.0,neutral,migration policy suppresses details
Immigration minister re-cancels visa of alleged murderer released after AAT ruling,2024-05-28T08:07:50Z,-0.6808,negative,visa policy
Immigration minister re-cancels visa of alleged murderer released after AAT ruling,2024-05-28T08:07:50Z,-0.6808,negative,legal issues
"Boost drug search powers, make immigration detention ‘last resort’, watchdog says",2024-04-21T20:00:05Z,0.0516,negative,customs
"Boost drug search powers, make immigration detention ‘last resort’, watchdog says",2024-04-21T20:00:05Z,0.0516,negative,immigration policy
"Boost drug search powers, make immigration detention ‘last resort’, watchdog says",2024-04-21T20:00:05Z,0.0516,negative,legal issues
"Dutton’s plan to cut immigration would cost Australia’s economy ‘billions’, treasurer says",2024-05-19T04:07:13Z,-0.1531,negative,government policy
"Dutton’s plan to cut immigration would cost Australia’s economy ‘billions’, treasurer says",2024-05-19T04:07:13Z,-0.1531,negative,economy
Immigration debate continues – as it happened,2023-11-30T07:02:24Z,0.0,neutral,migration policy
Andrew Giles backs away from claim drones being used to track released immigration detainees,2024-06-03T05:43:55Z,-0.0516,negative,key individuals
Andrew Giles backs away from claim drones being used to track released immigration detainees,2024-06-03T05:43:55Z,-0.0516,negative,controversies
Andrew Giles backs away from claim drones being used to track released immigration detainees,2024-06-03T05:43:55Z,-0.0516,negative,immigration detainees
"Drones used to track immigration detainees released after high court decision, Andrew Giles reveals",2024-05-30T05:14:19Z,0.0,neutral,detention policy
"Drones used to track immigration detainees released after high court decision, Andrew Giles reveals",2024-05-30T05:14:19Z,0.0,neutral,government policy
Minister was warned of ‘increased’ legal risks of immigration detention in 2022,2024-04-11T15:00:28Z,-0.6369,negative,legal issues
Minister was warned of ‘increased’ legal risks of immigration detention in 2022,2024-04-11T15:00:28Z,-0.6369,negative,immigration policy
Refugee Sayed Abdellatif freed after almost 12 years in Australian immigration detention,2024-04-09T06:49:31Z,0.0516,negative,australian immigration policy
Operation Zufolo: Australia deployed a ‘charade’ to sustain indefinite immigration detention – it failed,2024-04-27T00:00:20Z,-0.7003,negative,government policy
Operation Zufolo: Australia deployed a ‘charade’ to sustain indefinite immigration detention – it failed,2024-04-27T00:00:20Z,-0.7003,negative,indefinite immigration policy
"Secret Serco rating system for immigration detainees must be scrapped, say Greens",2024-03-14T14:00:25Z,0.0,neutral,controversies
"Secret Serco rating system for immigration detainees must be scrapped, say Greens",2024-03-14T14:00:25Z,0.0,neutral,immigration detainees
Flawed immigration detention risk assessment tool can’t be upgraded as ABF data ‘riddled with errors’,2024-05-10T00:00:24Z,-0.7717,negative,migration policy
Flawed immigration detention risk assessment tool can’t be upgraded as ABF data ‘riddled with errors’,2024-05-10T00:00:24Z,-0.7717,negative,government policy
Australian immigration detainees’ lives controlled by secret rating system developed by Serco,2024-03-12T19:04:49Z,0.0,neutral,detention policy
Revealed: the secret algorithm that controls the lives of Serco’s immigration detainees,2024-03-12T19:00:00Z,0.0,neutral,secret algorithm
Revealed: the secret algorithm that controls the lives of Serco’s immigration detainees,2024-03-12T19:00:00Z,0.0,neutral,detention policy
Immigration minister Andrew Giles seeking ‘urgent advice’ about re-cancelling visa of man accused of murder,2024-05-23T07:13:51Z,-0.7845,negative,key individuals
Immigration minister Andrew Giles seeking ‘urgent advice’ about re-cancelling visa of man accused of murder,2024-05-23T07:13:51Z,-0.7845,negative,government policy
Dan Tehan condemns ‘big Australia’ policy but won’t reveal Coalition’s immigration plan,2024-03-03T02:30:59Z,-0.2846,negative,key individuals
Dan Tehan condemns ‘big Australia’ policy but won’t reveal Coalition’s immigration plan,2024-03-03T02:30:59Z,-0.2846,negative,government policy
Dan Tehan condemns ‘big Australia’ policy but won’t reveal Coalition’s immigration plan,2024-03-03T02:30:59Z,-0.2846,negative,government policy
News Corp quotes anti-immigration TikToker but fails to reveal ex-One Nation MP adviser role ,2024-05-04T00:00:27Z,-0.5719,negative,news
News Corp quotes anti-immigration TikToker but fails to reveal ex-One Nation MP adviser role ,2024-05-04T00:00:27Z,-0.5719,negative,general information
News Corp quotes anti-immigration TikToker but fails to reveal ex-One Nation MP adviser role ,2024-05-04T00:00:27Z,-0.5719,negative,key individuals
 Labor’s ‘draconian’ immigration detention conditions challenged in high court ,2023-11-22T06:45:07Z,-0.4404,negative,migration policy
 Labor’s ‘draconian’ immigration detention conditions challenged in high court ,2023-11-22T06:45:07Z,-0.4404,negative,high court
Freed immigration detainee sues Australian government for damages for alleged false imprisonment,2024-01-15T14:00:32Z,-0.0516,negative,legal issues
Freed immigration detainee sues Australian government for damages for alleged false imprisonment,2024-01-15T14:00:32Z,-0.0516,negative,legal issues
More than 170 immigration detainees could be freed if Australian government loses high court challenge,2024-03-19T14:00:39Z,0.1779,negative,immigration detainees
More than 170 immigration detainees could be freed if Australian government loses high court challenge,2024-03-19T14:00:39Z,0.1779,negative,australian government
More than 170 immigration detainees could be freed if Australian government loses high court challenge,2024-03-19T14:00:39Z,0.1779,negative,legal issues
Hundreds more immigration detainees could be released in sequel to NZYQ high court ruling,2024-02-15T14:00:18Z,0.0,neutral,immigration detainees
Hundreds more immigration detainees could be released in sequel to NZYQ high court ruling,2024-02-15T14:00:18Z,0.0,neutral,migration policy
Andrew Giles faces years of litigation as he fights to prevent another disastrous defeat on immigration | Paul Karp,2024-03-31T14:00:42Z,-0.8834,negative,key individuals
Andrew Giles faces years of litigation as he fights to prevent another disastrous defeat on immigration | Paul Karp,2024-03-31T14:00:42Z,-0.8834,negative,controversies
Andrew Giles faces years of litigation as he fights to prevent another disastrous defeat on immigration | Paul Karp,2024-03-31T14:00:42Z,-0.8834,negative,key individuals
"Australia’s immigration spike not necessarily driving up housing prices, experts say",2023-12-11T14:00:38Z,0.0,neutral,migration policy
"Australia’s immigration spike not necessarily driving up housing prices, experts say",2023-12-11T14:00:38Z,0.0,neutral,economy
Fifth immigration detainee arrested after release due to high court ruling,2023-12-07T03:48:26Z,-0.4767,negative,immigration detainee
Fifth immigration detainee arrested after release due to high court ruling,2023-12-07T03:48:26Z,-0.4767,negative,immigration policy
Sixth former immigration detainee arrested in Melbourne for allegedly breaking curfew,2023-12-09T01:51:42Z,-0.4767,negative,immigration detainee
