post_content,hashtags,user_mentions,datetime,sentiment_scores,sentiment,topic
What do we know about the age reduction on the Graduated Visa?,"MigrationStrategy, NewMigrationStrategy, Australia, MigrationNews, AustraliaImmigration, AustraliaMigration, MigrationStrategyAustralia, GraduateVisa, 485Visa, 485GraduateVisa",,2023-12-15T00:14:20.000Z,0.0,neutral,visa eligibility
When the Migration Strategy will be implemented?,"MigrationStrategy, NewMigrationStrategy, Australia, MigrationNews, AustraliaImmigration, AustraliaMigration, MigrationStrategyAustralia, GraduateVisa, 485Visa, StudentVisa, EnglishTest, ActionPlanAustralia",,2023-12-15T00:09:33.000Z,0.0,neutral,migration policy
"Thank you all people who supported the 485visa cause to claim the covid concessions.  Today, I made some changes to my twitter account. Unfollowed accounts to make way for new. .","auspol, Australia.",,2022-02-05T09:04:16.000Z,0.5859,neutral,pandemic impact
"Thank you all people who supported the 485visa cause to claim the covid concessions.  Today, I made some changes to my twitter account. Unfollowed accounts to make way for new. .","auspol, Australia.",,2022-02-05T09:04:16.000Z,0.5859,neutral,general information
Attention TR-485 visa holders! Is your Visa expiring before July 1st? Apply for the TR-408 visa today and secure a two-year extension of your stay in Australia.,"sc408, sc485, tr408, tr485, 408visa, 485visa, temporarygraduate, studentvisa, internationalstudents, australia",,2023-06-02T07:28:34.000Z,0.4003,neutral,visa application
Attention TR-485 visa holders! Is your Visa expiring before July 1st? Apply for the TR-408 visa today and secure a two-year extension of your stay in Australia.,"sc408, sc485, tr408, tr485, 408visa, 485visa, temporarygraduate, studentvisa, internationalstudents, australia",,2023-06-02T07:28:34.000Z,0.4003,neutral,visa-related
"Who will compensate our wasted time, destroyed assets & shattered confidence? Stuck overseas 485visa holders of Australia need attention",,"@CNN, @BBC, @SBS, @tomwconnell, @TuckerCarlson, @FoxNews, @ScottMorrisonMP, @AlanTudgeMP, @POTUS, @VP, @RonDeSantisFL, @JustinTrudeau, @SadiqKhan.",2021-10-16T19:32:36.000Z,-0.7579,negative,graduate visa
"Who will compensate our wasted time, destroyed assets & shattered confidence? Stuck overseas 485visa holders of Australia need attention",,"@CNN, @BBC, @SBS, @tomwconnell, @TuckerCarlson, @FoxNews, @ScottMorrisonMP, @AlanTudgeMP, @POTUS, @VP, @RonDeSantisFL, @JustinTrudeau, @SadiqKhan.",2021-10-16T19:32:36.000Z,-0.7579,negative,migration policy
The  is for overseas students who have graduated with skills and qualifications for jobs needed over the medium and long term in Australia listed on theMedium and Long-term Strategic Skills List -,"GraduateWorkStream, 485Visa, MLTSSL#AustralianImmigration, AustralianMigration",,2018-08-18T10:55:04.000Z,0.0,neutral,overseas students
The  is for overseas students who have graduated with skills and qualifications for jobs needed over the medium and long term in Australia listed on theMedium and Long-term Strategic Skills List -,"GraduateWorkStream, 485Visa, MLTSSL#AustralianImmigration, AustralianMigration",,2018-08-18T10:55:04.000Z,0.0,neutral,long term
The  is for overseas students who have graduated with skills and qualifications for jobs needed over the medium and long term in Australia listed on theMedium and Long-term Strategic Skills List -,"GraduateWorkStream, 485Visa, MLTSSL#AustralianImmigration, AustralianMigration",,2018-08-18T10:55:04.000Z,0.0,neutral,long term
The  is for overseas students who have graduated with skills and qualifications for jobs needed over the medium and long term in Australia listed on theMedium and Long-term Strategic Skills List -,"GraduateWorkStream, 485Visa, MLTSSL#AustralianImmigration, AustralianMigration",,2018-08-18T10:55:04.000Z,0.0,neutral,skilled migration
"Just graduated? Here is some information that could help you, if you want to stay in Australia and not to return...",,,2016-12-23T07:34:57.000Z,0.4588,neutral,
