post_content,hashtags,user_mentions,datetime,sentiment_scores,sentiment,topic
What do we know about the age reduction on the Graduated Visa?,"MigrationStrategy, NewMigrationStrategy, Australia, MigrationNews, AustraliaImmigration, AustraliaMigration, MigrationStrategyAustralia, GraduateVisa, 485Visa, 485GraduateVisa",,2023-12-15T00:14:20.000Z,0.0,neutral,age reduction
When the Migration Strategy will be implemented?,"MigrationStrategy, NewMigrationStrategy, Australia, MigrationNews, AustraliaImmigration, AustraliaMigration, MigrationStrategyAustralia, GraduateVisa, 485Visa, StudentVisa, EnglishTest, ActionPlanAustralia",,2023-12-15T00:09:33.000Z,0.0,neutral,migration strategy
"Thank you all people who supported the 485visa cause to claim the covid concessions.  Today, I made some changes to my twitter account. Unfollowed accounts to make way for new. .","auspol, Australia.",,2022-02-05T09:04:16.000Z,0.5859,neutral,"covid concessions, twitter account"
Attention TR-485 visa holders! Is your Visa expiring before July 1st? Apply for the TR-408 visa today and secure a two-year extension of your stay in Australia.,"sc408, sc485, tr408, tr485, 408visa, 485visa, temporarygraduate, studentvisa, internationalstudents, australia",,2023-06-02T07:28:34.000Z,0.4003,neutral,"attention tr, visa holders"
"Who will compensate our wasted time, destroyed assets & shattered confidence? Stuck overseas 485visa holders of Australia need attention",,"@CNN, @BBC, @SBS, @tomwconnell, @TuckerCarlson, @FoxNews, @ScottMorrisonMP, @AlanTudgeMP, @POTUS, @VP, @RonDeSantisFL, @JustinTrudeau, @SadiqKhan.",2021-10-16T19:32:36.000Z,-0.7579,negative,"overseas 485visa holders, australia need attention"
The  is for overseas students who have graduated with skills and qualifications for jobs needed over the medium and long term in Australia listed on theMedium and Long-term Strategic Skills List -,"GraduateWorkStream, 485Visa, MLTSSL#AustralianImmigration, AustralianMigration",,2018-08-18T10:55:04.000Z,0.0,neutral,"overseas students, long term, long term, strategic skills list"
"Just graduated? Here is some information that could help you, if you want to stay in Australia and not to return...",,,2016-12-23T07:34:57.000Z,0.4588,neutral,
"Surf life saving, such an Aussie tradition. #backpacking","backpacking, 457visa, 485visahttp://oshcare.com.au/oshcare-direct, surflifesaving","@lianaallan, @migrateinst",2016-10-30T08:07:46.000Z,0.0,neutral,"surf life, aussie tradition"
Watch this IOM video about the Temporary Graduate #485Visa. Call us for #migration advice Ph:  via @YouTube,"485Visa., migration",@YouTube,2017-07-06T00:24:39.000Z,0.0,neutral,"iom video, temporary graduate 485visa, migration advice ph"
Impressed by DIBPs visa processing - received #485visa approval decision 6 weeks after lodgement!,485visa,,2017-03-30T05:27:06.000Z,0.7574,positive,"dibps visa processing, 485visa approval decision"
"Welcome to twitter @ISPostStudyWork, a @DeakinREDI research project on The Impact of Post-Study Work Arrangements on International Graduates in Australia.  @Deakin","IEAAWorldatWork, intled, 485visa, studyabroad, poststudyworkvisa, employability, poststudywork","@ISPostStudyWork,, @DeakinREDI, @Deakin",2019-06-21T03:33:50.000Z,0.4588,neutral,"twitter ispoststudywork deakinredi research project, post study work arrangements, international graduates, australia deakin"
"How has the 485 post-study work visa impacted graduate outcomes? 485 holders & Aus unis are invited to participate in this research project. Share the survey with international graduates to help inform policy & practice,","intled, 485visa, PostStudyWorkVisa",,2019-06-21T03:33:50.000Z,0.5994,neutral,"post study work visa, graduate outcomes, holders aus unis, research project share, international graduates, policy practice"
