text,Publication Date,sentiment_scores,sentiment
Andrew Giles released four people from immigration detention without strictest conditions,2024-06-24T15:00:42Z,"{'neg': 0.200, 'neu': 0.800, 'pos': 0.000, 'compound': -0.3612}",negative
Australia’s immigration minister suppresses details about electronic monitoring of former detainees,2024-05-07T15:00:20Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Immigration minister re-cancels visa of alleged murderer released after AAT ruling,2024-05-28T08:07:50Z,"{'neg': 0.315, 'neu': 0.685, 'pos': 0.000, 'compound': -0.6808}",negative
"Boost drug search powers, make immigration detention ‘last resort’, watchdog says",2024-04-21T20:00:05Z,"{'neg': 0.176, 'neu': 0.634, 'pos': 0.190, 'compound': 0.0516}",negative
"Dutton’s plan to cut immigration would cost Australia’s economy ‘billions’, treasurer says",2024-05-19T04:07:13Z,"{'neg': 0.154, 'neu': 0.735, 'pos': 0.110, 'compound': -0.1531}",negative
Immigration debate continues – as it happened,2023-11-30T07:02:24Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Andrew Giles backs away from claim drones being used to track released immigration detainees,2024-06-03T05:43:55Z,"{'neg': 0.085, 'neu': 0.915, 'pos': 0.000, 'compound': -0.0516}",negative
"Drones used to track immigration detainees released after high court decision, Andrew Giles reveals",2024-05-30T05:14:19Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Minister was warned of ‘increased’ legal risks of immigration detention in 2022,2024-04-11T15:00:28Z,"{'neg': 0.414, 'neu': 0.494, 'pos': 0.093, 'compound': -0.6369}",negative
Refugee Sayed Abdellatif freed after almost 12 years in Australian immigration detention,2024-04-09T06:49:31Z,"{'neg': 0.164, 'neu': 0.658, 'pos': 0.178, 'compound': 0.0516}",negative
Operation Zufolo: Australia deployed a ‘charade’ to sustain indefinite immigration detention – it failed,2024-04-27T00:00:20Z,"{'neg': 0.326, 'neu': 0.674, 'pos': 0.000, 'compound': -0.7003}",negative
"Secret Serco rating system for immigration detainees must be scrapped, say Greens",2024-03-14T14:00:25Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Flawed immigration detention risk assessment tool can’t be upgraded as ABF data ‘riddled with errors’,2024-05-10T00:00:24Z,"{'neg': 0.391, 'neu': 0.609, 'pos': 0.000, 'compound': -0.7717}",negative
Australian immigration detainees’ lives controlled by secret rating system developed by Serco,2024-03-12T19:04:49Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
