,Title,Publication Date
0,Andrew Giles released four people from immigration detention without strictest conditions,2024-06-24T15:00:42Z
1,Australia’s immigration minister suppresses details about electronic monitoring of former detainees,2024-05-07T15:00:20Z
2,Immigration minister re-cancels visa of alleged murderer released after AAT ruling,2024-05-28T08:07:50Z
3,"Boost drug search powers, make immigration detention ‘last resort’, watchdog says",2024-04-21T20:00:05Z
4,"Dutton’s plan to cut immigration would cost Australia’s economy ‘billions’, treasurer says",2024-05-19T04:07:13Z
5,Immigration debate continues – as it happened,2023-11-30T07:02:24Z
6,Andrew Giles backs away from claim drones being used to track released immigration detainees,2024-06-03T05:43:55Z
7,"Drones used to track immigration detainees released after high court decision, Andrew Giles reveals",2024-05-30T05:14:19Z
8,Minister was warned of ‘increased’ legal risks of immigration detention in 2022,2024-04-11T15:00:28Z
9,Refugee Sayed Abdellatif freed after almost 12 years in Australian immigration detention,2024-04-09T06:49:31Z
10,Operation Zufolo: Australia deployed a ‘charade’ to sustain indefinite immigration detention – it failed,2024-04-27T00:00:20Z
11,"Secret Serco rating system for immigration detainees must be scrapped, say Greens",2024-03-14T14:00:25Z
12,Flawed immigration detention risk assessment tool can’t be upgraded as ABF data ‘riddled with errors’,2024-05-10T00:00:24Z
13,Australian immigration detainees’ lives controlled by secret rating system developed by Serco,2024-03-12T19:04:49Z
14,Revealed: the secret algorithm that controls the lives of Serco’s immigration detainees,2024-03-12T19:00:00Z
15,Immigration minister Andrew Giles seeking ‘urgent advice’ about re-cancelling visa of man accused of murder,2024-05-23T07:13:51Z
16,Dan Tehan condemns ‘big Australia’ policy but won’t reveal Coalition’s immigration plan,2024-03-03T02:30:59Z
17,News Corp quotes anti-immigration TikToker but fails to reveal ex-One Nation MP adviser role ,2024-05-04T00:00:27Z
18, Labor’s ‘draconian’ immigration detention conditions challenged in high court ,2023-11-22T06:45:07Z
19,Freed immigration detainee sues Australian government for damages for alleged false imprisonment,2024-01-15T14:00:32Z
20,More than 170 immigration detainees could be freed if Australian government loses high court challenge,2024-03-19T14:00:39Z
21,Hundreds more immigration detainees could be released in sequel to NZYQ high court ruling,2024-02-15T14:00:18Z
22,Andrew Giles faces years of litigation as he fights to prevent another disastrous defeat on immigration | Paul Karp,2024-03-31T14:00:42Z
23,"Australia’s immigration spike not necessarily driving up housing prices, experts say",2023-12-11T14:00:38Z
24,Fifth immigration detainee arrested after release due to high court ruling,2023-12-07T03:48:26Z
25,Sixth former immigration detainee arrested in Melbourne for allegedly breaking curfew,2023-12-09T01:51:42Z
26,Peter Dutton doubles down on immigration attacks despite Victoria police clearing detainee of assault charges,2024-03-01T03:28:51Z
27,Two immigration detainees charged after release due to high court ruling,2023-12-04T08:35:14Z
28,‘Missing’ man who left immigration detention without electronic monitoring is located,2023-11-29T07:25:31Z
29,Seven of the immigration detainees released in Australia were convicted of murder or attempted murder,2024-02-12T06:30:11Z
30,Immigration detention explainer: how is Labor responding to the landmark high court ruling? ,2023-11-16T00:59:45Z
31,Clare O’Neil claims she relied on verbal briefings only for prediction of high court immigration detention win,2024-03-20T22:30:13Z
32,Fourth former immigration detainee charged after release due to high court ruling,2023-12-06T06:43:01Z
33,Labor’s preventive detention regime passes Senate as third freed immigration detainee arrested ,2023-12-05T08:00:12Z
34, Australia to immediately begin releasing people held in indefinite immigration detention,2023-11-09T20:40:38Z
35,Youth curfew announced in Alice Springs; Labor’s ‘urgent’ immigration bill delayed; and the veggie chip taste test,2024-03-27T05:51:57Z
36,Malaysian hitman released from Australian immigration detention after high court ruling,2023-11-12T02:26:44Z
37,Indefinite immigration detention ruled unlawful in landmark Australian high court decision ,2023-11-08T07:50:42Z
38,Labor’s emergency laws after immigration detention ruling may amount to ‘extrajudicial’ punishment,2023-11-17T14:00:13Z
39,Immigration detention: Labor to rush through emergency legislation after high court ruling,2023-11-15T04:46:32Z
40,Labor blames Peter Dutton’s decisions as immigration minister for ‘mess’ of indefinite detention ,2023-11-29T06:14:02Z
42,Australia’s system of indefinite immigration detention to face high court challenge,2023-10-03T23:00:26Z
43,Eighty people already freed from Australia’s immigration detention since landmark high court ruling,2023-11-12T22:17:36Z
44,Australia releases stateless man on ‘strict conditions’ after indefinite immigration detention ruled unlawful ,2023-11-09T04:10:29Z
45,Labor to enact ‘preventive detention’ regime after high court reveals reasons for immigration ruling,2023-11-28T04:23:08Z
46,Immigration detention: Rohingya refugee NZYQ given sex offender counselling sessions in ‘very special deal’,2023-11-24T14:00:22Z
47,Peter Dutton demands immigration minister Andrew Giles resign as another person released from detention,2023-11-30T06:01:41Z
48,Immigration minister released friend of Bob Hawke from detention on visa that did not include ankle bracelet or curfew,2024-02-27T14:00:01Z
49,Immigration minister lifts ankle bracelet and curfew conditions for two ex-detainees suing Australian government,2023-12-14T14:00:02Z
50,"‘None’ of 81 people released from immigration detention arrived during Albanese government, Labor says",2023-11-14T06:53:02Z
51,"Ankle bracelets, curfews and criminal penalties in Labor response to release of immigration detainees",2023-11-15T16:50:46Z
53,Documents reveal details about the 92 people facing release from indefinite immigration detention in Australia,2023-11-10T02:53:46Z
55,Andrew Giles issues new rules for visa cancellations that make community safety ‘highest priority’,2024-06-07T06:44:22Z
